part_number,pieces_per_pound
MS20426-3-3,5500
MS20426-3-4,4900
MS20426-3-5,4025
MS20426-3-6,3420
MS20426-3-7,2975
MS20426-3-8,2635
MS20426-3-9,2360
MS20426-3-10,2140
MS20426-3-11,1950
MS20426-3-12,1800
MS20426-3-13,1735
MS20426-3-14,1555
MS20426-3-15,1460
MS20426-3-16,1370
MS20426-4-3,3077
MS20426-4-4,2754
MS20426-4-5,2265
MS20426-4-6,1930
MS20426-4-7,1675
MS20426-4-8,1485
MS20426-4-9,1330
MS20426-4-10,1200
MS20426-4-11,1100
MS20426-4-12,1000
MS20426-4-13,940
MS20426-4-14,875
MS20426-4-15,820
MS20426-4-16,775
MS20426-5-3,1850
MS20426-5-4,1670
MS20426-5-5,1390
MS20426-5-6,1190
MS20426-5-7,1040
MS20426-5-8,925
MS20426-5-9,830
MS20426-5-10,755
MS20426-5-11,690
MS20426-5-12,640
MS20426-5-13,595
MS20426-5-14,555
MS20426-5-15,520
MS20426-5-16,490
MS20426-6-3,1200
MS20426-6-4,1090
MS20426-6-5,910
MS20426-6-6,790
MS20426-6-7,700
MS20426-6-8,620
MS20426-6-9,560
MS20426-6-10,510
MS20426-6-11,465
MS20426-6-12,430
MS20426-6-13,404
MS20426-6-14,375
MS20426-6-15,350
MS20426-6-16,330
MS20470-3-3,4040
MS20470-3-4,3435
MS20470-3-5,4460
MS20470-4-3,2065
MS20470-4-4,1780
MS20470-4-5,2240
MS20470-5-3,1210
MS20470-5-4,1050
MS20470-5-5,1300
MS20470-6-3,745
MS20470-6-4,700
MS20470-6-5,880
MS20427-3-3,1925
MS20427-3-4,1510
MS20427-3-5,1045
MS20427-4-3,1075
MS20427-4-4,845
MS20427-4-5,590
MS20427-5-3,660
MS20427-5-4,520
MS20427-5-5,370
MS20427-6-3,450
MS20427-6-4,360
MS20427-6-5,254
MS20615-3-3,1170
MS20615-3-4,980
MS20615-3-5,1370
MS20615-4-3,565
MS20615-4-4,490
MS20615-4-5,660
MS20615-5-3,325
MS20615-5-4,290
MS20615-5-5,375
MS20615-6-3,203
MS20615-6-4,182
MS20615-6-5,230
MS20613-3-3,1550
MS20613-3-4,1320
MS20613-3-5,970
MS20613-4-3,745
MS20613-4-4,640
MS20613-4-5,490
MS20613-5-3,425
MS20613-5-4,385
MS20613-5-5,292
MS20613-6-3,261
MS20613-6-4,229
MS20613-6-5,186
NAS1097-3-3,5300
NAS1097-3-4,4430
NAS1097-3-5,5900
NAS1097-4-3,3030
NAS1097-4-4,2495
NAS1097-4-5,3375
NAS1097-5-3,1845
NAS1097-5-4,1530
NAS1097-5-5,2045
NAS1097-6-3,1200
NAS1097-6-4,1010
NAS1097-6-5,1330
